#	English - EN	Spanish - ES	#Korean - KO	Chinese Simplified - ZH	#Chinese Traditional - ZH	#Japanese - JA	#Russian - RU	French - FR
#VERSION								
#								
LAUNCH_NOT_DETECTED	Launcher not detected...	Launcher no detectado...	버전 확인중...	新版检查中...	檢查版本...	バージョンを確認しています…	Лаунчер не обнаружен...	Vérification de la version...
PARTY_RESULTS_BONUS_GUY_SPACES	landed on the most The Guy Spaces	cayó más en casilas de The Guy	가장 많이 The Guy 칸에 착지한 플레이어에게 주어집니다!	最多次停在Guy格子	最多次停在Guy格子	最も多くのThe Guyマスに止まった	больше приземлился на клетки Гая	s'est arrêté sur le plus de cases The Guy
PARTY_RESULTS_BONUS_SURPRISE_SPACES	landed on the most Surprise Spaces	cayó más en casillas de Sorpresa	가장 많이 랜덤 칸에 착지한 플레이어에게 주어집니다!	最多次停在随机格子	最多次停在隨機格子	最も多くのサプライズマスに止まった	больше приземлился на Сюрприз клетки	s'est arrêté sur le plus de cases Surprise
PARTY_RESULTS_BONUS_SHOP	spent the most Coins on the Shop	gastó más monedas en la Tienda	상점에서 가장 많은 코인을 사용한 플레이어에게 주어집니다!	在商店消费最多金币	在商店花費最多金幣	ショップで最も多くのコインを使った	больше потратил Монет в Магазине	a dépensé le plus de Pièces en Boutique
PARTY_RESULTS_BONUS_BLACKHOLE	lost most stuff due to Blackhole	perdió más cosas debido al Agujero Negro	블랙홀에게 가장 많이 뺴앗긴 플레이어에게 주어집니다!	被黑洞偷走最多东西	被黑洞偷走最多東西	ブラックホールによりほとんどのものを失った	больше потерял Монет от Чёрной Дыры	a le plus subi le Trou Noir
PARTY_RESULTS_BONUS_WON_ONE	Congratulations!	¡Felicitaciones!	축하드립니다!	恭喜！	恭喜！	おめでとうございます！	Поздравляю!	Félicitations !
PARTY_RESULTS_BONUS_WON_TWO	I applaud both of you!	¡Les aplaudo a los dos!	두 분 모두 축하드립니다!	恭喜两位！	我為你們倆鼓掌！	二人に拍手を送ります！	Я аплодирую вам обоим!	Je vous applaudis tous les deux !
PARTY_RESULTS_BONUS_WON_THREE	Wow, three of you got it!\nI'm impressed!	¡Wow, tres de ustedes lo lograron!\n¡Estoy impresionado!	세 분이나 받으셨습니다!\n믿을 수가 없는 일이군요!	哇，有三个人完成！\n我很震惊！	哇，有三個人完成！\n我很震驚！	わぁ、3人とも取れたんですね！\n感動しました!	Вау, троё из вас получили это!\nЯ удивлён!	Wow, vous avez tous les trois réussi ! Je suis impressionné !
PARTY_RESULTS_BONUS_WON_FOUR	What!? All of you managed to get it??\nYou're all so good!	¿¡Qué!? ¿¿Todos lo lograron??\n¡Todos ustedes son demasiado buenos!	네?! 여러분 전부 받으셨다고요??\n여러분 모두 정말 대단하시네요!	什么？所有人都一样？\n你们都太棒了！	什麼！？所有人都一樣？\n你們都太棒了！	え！？みんな取れたの？？\nみんな上手いね!	Чего?! Вы все умудрились получить это??\nВы все так хороши!	Quoi ? Vous avez tous réussi ?? Vous êtes tous si doués !
PARTY_RESULTS_NOW_REVEAL	Now it's finally time to reveal the winner!\nI'm so nervous...	¡Ahora es finalmente la hora de revelar al ganador!\nEstoy tan nervioso...	자, 이제 최종 우승자를 발표할 시간입니다!\n정말 긴장되는군요...	现在是时候揭晓赢家了！\n真令人紧张……	現在終於到了揭曉贏家的時候了！\n真令人緊張……	いよいよ優勝者の発表です！	Теперь, наконец время объявить победителя!\nЯ так волнуюсь...	Maintenant c'est enfin le moment de découvrir le gagnant ! Je suis si nerveux...
PARTY_RESULTS_PARTY_WON_ONE	{Player} is the winner!\nA round of applause!	¡{Player} es el ganador!\n¡Ronda de aplausos!	{Player}님이 우승하셨습니다!\n모두 뜨거운 박수로 축하해주세요!	{Player} 获胜！\n掌声响起来！	{Player} 獲勝！\n熱烈掌聲！	優勝者は {Player} です！ おめでとうございます！	{Player} победитель!\nАплодисменты!	{Player} est le gagnant ! Un tonnerre d'applaudissements !
PARTY_RESULTS_PARTY_WON_TWO	{Players} are the winners!\nA double win, you don't see that very often!	¡{Players} son los ganadores!\n¡Una victoria doble, no ves eso muy seguido!	{Players}님들께서 우승하셨습니다!\n공동우승이라, 흔히 있는 일이 아닌데요!	{Players} 同时获胜！\n是很少见的双赢！	{Player} 同時獲勝！\n這種情況並不常見！	優勝者は {Player} です！ \n2人が優勝するなんてものすごく珍しい光景です！	{Players}  победители!\nДвойная победа, которую вы не так часто видите!	{Players} sont les gagnants ! Une double victoire, vous ne voyez pas ça souvent !
PARTY_RESULTS_PARTY_WON_THREE	{Players} are the winners!\nI can hardly believe my eyes!\nThree of you won!	¡{Players} son los ganadores!\n¡Dificilmente creo lo que veo!\n¡Tres de ustedes ganaron!	{Players}님들께서 우승하셨습니다!\n세 분이나 우승하셨다니, 믿기지가 않네요!	{Players} 同时获胜！\n我不敢相信我的眼睛！\n恭喜三位！	{Player} 同時獲勝！\n我簡直不敢相信自己的眼睛！\n恭喜三位！	{Player} が勝者です！\n信じられない!\n3 人が勝利しました！	{Players} победители!\nНе верю своим глазам!\nВы трое победили!	{Players} sont les gagnants ! Je peux à peine en croire mes yeux ! Vous avez tous les trois gagné !
PARTY_RESULTS_PARTY_WON_FOUR	{Players} are the winners!\nEveryone won???\nThat's even rarer than seeing a shooting star!!!	¡{Players} son los ganadores!\n¿¿¿Todos ganaron???\n¡¡¡Eso es incluso más raro que ver una estrella fugaz!!!	{Players}님들께서 우승하셨습니다!\여러분 모두 우승하셨다고요???\n	{Players} 同时获胜！\n所有人都赢了？？？\n这比流星还罕见啊！！！	{Player} 同時獲勝！\n所有人都贏了？？？\n這比流星還要罕見！！！	{Player}が勝者です！\n全員勝った???\n流れ星を見るよりも珍しいかもしれない!!!	{Players} победители!\nВсе победили???\nЭто даже реже, чем поймать падающую звезду!!!	{Players} sont les gagnants ! Tout le monde a gagné ??? C'est encore plus rare que de voir une étoile filante !!!
#								
#MINIGAMES								
#								
MINIGAMES_MODE_NORMAL	Normal	Normal	시작	开始	開始	はじめる	Нормальный	Normal
MINIGAMES_MODE_PRACTICE	Practice	Práctica	연습	练习	練習	練習	Тренировка	Entrainement
MINIGAMES_PAGE	Page {Number/Total}	Página {Number/Total}	페이지	第 {Number/Total} 页	第 {Number/Total} 頁	ページ {Number/Total}	Страница {Number/Total}	Page {Number/Total}
MINIGAMES_RULES	Rules	Reglas	규칙	规则	規則	ルール	Правила	Règles
MINIGAMES_CONTROLS	Controls	Controles	조작	操作方式	操作方式	操作	Управление	Commandes
MINIGAMES_RULES_SOLO_PLAYER	Rules Solo Player	Reglas del Jugador Solitario	1인 플레이 규칙	单人规则	單人規則	1人側のルール	Правила Одиночки	Règles du joueur Solo
MINIGAMES_CONTROLS_SOLO_PLAYER	Controls Solo Player	Controles del Jugador Solitario	1인 플레이 조작	单人操作方式	單人操作方式	1人側の操作	Управление Одиночки	Commandes du joueur Solo
MINIGAMES_RULES_TEAM_PLAYERS	Rules Team Players	Reglas de Jugadores en Equipo	팀 플레이 규칙	多人规则	多人規則	チーム側のルール	Правила Команды	Règles des joueurs en équipe
MINIGAMES_CONTROLS_TEAM_PLAYERS	Controls Team Players	Controles de Jugadores en Equipo	팀 플레이 조작	多人操作方式	多人操作方式	チーム側の操作	Управление Команды	Commandes des joueurs en équipe
MINIGAMES_EXIT_PRACTICE	Press {Misc key} to exit practice	Presiona {Misc key} para salir	{Misc key}를 눌러 연습을 종료합니다	按 {Misc key} 键退出练习	按 {Misc key} 鍵退出練習	{Misc key} で練習をやめる	Нажми {Misc key} для завершения тренировки	Appuyez sur {Misc key} pour quitter l'entrainement
MINIGAMES_START	START	INICIEN		开始	開始	スタート	СТАРТ	
MINIGAMES_FINISH	FINISH	SE ACABÓ	종료	结束	結束	フィニッシュ	ФИНИШ	FINI
MINIGAMES_WON	WON	GANA	승리	获胜	獲勝	勝利	ПОБЕДИЛИ	GAGNÉ
MINIGAMES_TIE	TIE	EMPATE		平局	平局	引き分け	НИЧЬЯ	ÉGALITÉ
MINIGAMES_TIMES_UP	TIME'S UP	SE ACABÓ EL TIEMPO		时间到	時間到	タイムアップ	ВРЕМЯ ВЫШЛО	TEMPS ÉCOULÉ
MINIGAMES_CLEAR	CLEAR	COMPLETADO	클리어	通关	通關	クリア	ПРОЙДЕНО	TERMINÉ
MINIGAMES_TOO_BAD	TOO BAD...	QUÉ MAL...	아쉽네요...	太遗憾了……	太遺憾了……	失敗…	ОЧЕНЬ ЖАЛЬ...	DOMMAGE...
#								
#4 VS.								
#								
MINIGAMES_LEAD_NAME	Follow The Lead	Sigue La Secuencia	날 따라 해봐요	跟随舞步	跟隨舞步	リーダーまねっこ	Следуй За Лидером	Suivez le Chef
MINIGAMES_LEAD_PAGE_1	DeDeDe shows a sequence of four actions that you need to perform. Upon doing so successfully add one more action for the next player! Keep in mind that you can't perform the same action twice in a row.	DeDeDe mostrará una secuencia de movimientos que deben ejecutar. Una vez realizada correctamente, ¡añade una acción extra para el siguiente jugador! No podrás repetir el mismo movimiento dos veces seguidas.	디디디 대왕이 여러분이 따라해야할 동작 4개를 보여줄겁니다. 만약 성공적으로 따라하게 된다면, 동작 하나를 추가해서 다음 플레이어에게 넘길 수 있습니다. 단, 같은 동작을 연속으로 하지 못하는 점 유의해주세요. 	你需要模仿帝帝帝大王展示的连续四个动作。每成功做完一组可以给下一位玩家增加一个动作！但要注意，你不能连续两次做同一个动作。	帝帝帝大王顯示了您需要執行的四個動作。成功做完一組可以添加一個動作給下一位玩家！ 請記住，您不能連續做兩次相同的動作。	デデデ大王が4つの動きをしたら、あなたはそれと同じことをやりましょう。 成功したら、続けて次のプレイヤーに向けて動きを1つ追加します。 同じアクションを2回続けて追加することはできないので注意しましょう。	ДеДеДе показывает последовательность из 4 действий, которую тебе надо повторить. Когда успешно всё выполнишь, добавь ещё одно для следующего игрока! Помни, что ты не можешь повторить одно и то же действие дважды подряд.	DeDeDe montre une séquence de quatre actions que vous devez exécuter. En les réalisant avec succès, vous ajouterez une action supplémentaire pour le prochain joueur ! Gardez à l'esprit que vous ne pouvez pas effectuer la même action deux fois de suite.
MINIGAMES_LEAD_PAGE_2	{Left key}{Down key}{Right key} Direction\n{Jump key} Jump\n{Shoot key} Shoot	{Left key}{Down key}{Right key} Dirección\n{Jump key} Saltar\n{Shoot key} Disparar	{Left key}{Down key}{Right key} 방향키\n{Jump key} 점프\n{Shoot key} 총	{Left key}{Down key}{Right key} 方向\n{Jump key} 跳跃\n{Shoot key} 射击	{Left key}{Down key}{Right key} 方向\n{Jump key} 跳躍\n{Shoot key} 射擊	{Left key}{Down key}{Right key} 方向\n{Jump key} ジャンプ\n{Shoot key} ショット	{Left key}{Down key}{Right key} Направление\n{Jump key} Прыжок\n{Shoot key} Стрельба	{Left key}{Down key}{Right key} Direction\n{Jump key} Sauter\n{Shoot key} Tirer
MINIGAMES_TOWER_NAME	Tower Ascension	Ascenso En La Torre	탑을 올라요	攀爬高塔	攀爬高塔	リフト上昇中	Подъём по Башне	Tour Ascension
